Problem , BS
100_20_01 , 1.79211e+06
100_20_02 , 1.81066e+06
100_20_03 , 1.67988e+06
100_20_04 , 1.94348e+06
100_20_05 , 1.53909e+06
100_20_06 , 1.66053e+06
100_20_07 , 1.78358e+06
100_20_08 , 1.75447e+06
100_20_09 , 1.85218e+06
100_20_10 , 1.66007e+06
100_20_11 , 1.8163e+06
100_20_12 , 1.71162e+06
100_20_13 , 1.71283e+06
100_20_14 , 1.70935e+06
100_20_15 , 1.44914e+06
100_20_16 , 1.84732e+06
100_20_17 , 1.77765e+06
100_20_18 , 1.82401e+06
100_20_19 , 1.67571e+06
100_20_20 , 1.80177e+06
100_20_21 , 1.70912e+06
100_20_22 , 1.7408e+06
100_20_23 , 1.7766e+06
100_20_24 , 1.69261e+06
100_20_25 , 1.7138e+06
100_20_26 , 1.56592e+06
100_20_27 , 1.86216e+06
100_20_28 , 1.73259e+06
100_20_29 , 1.99223e+06
100_20_30 , 1.77045e+06
50_20_01 , 595260
50_20_02 , 622342
50_20_03 , 592745
50_20_04 , 666621
50_20_05 , 653748
50_20_06 , 643294
50_20_07 , 565375
50_20_08 , 532097
50_20_09 , 572797
50_20_10 , 600785
50_20_11 , 604272
50_20_12 , 584199
50_20_13 , 551945
50_20_14 , 572954
50_20_15 , 595368
50_20_16 , 551243
50_20_17 , 647036
50_20_18 , 630186
50_20_19 , 465508
50_20_20 , 565240
50_20_21 , 617905
50_20_22 , 642666
50_20_23 , 602536
50_20_24 , 552363
50_20_25 , 587942
50_20_26 , 600296
50_20_27 , 563816
50_20_28 , 549809
50_20_29 , 545184
50_20_30 , 509210
